Bild,X,Y,Z,View_X,View_Y,View_Z,Lat,Lon,Height,UTM_X,UTM_Y,UTM_Z,UTM_X_est,UTM_Y_est,UTM_Z_est,Dir_E,Dir_N,Dir_H,RotMat
20250614_204908.jpg,29.73111819991894,-5.099125222686415,2.592379649130393,-0.8328358320004801,-0.10743095737658165,-0.5429945361909447,49.18142579972222,9.2350297,229.0,517128.1340072846,5447650.930834084,176.0,517125.95250235853,5447650.978639584,177.68408472013923,-0.8015551520882143,-0.5752432390446081,0.16310902517735767,"[0.5830514342321474, 0.1325155206029682, -0.8015551520882143, -0.8124352435978118, 0.09510095106586584, -0.5752432390446081, 0.0, 0.9866080508011743, 0.16310902517735767]"
20250614_204006.jpg,-21.561160894750184,-2.9265125319650886,-11.280117672479285,0.9679474950518279,-0.250824796837478,0.012828410436587952,49.1812795,9.234300899722221,230.0,517075.07199391036,5447634.502269332,177.0,517075.9154526858,5447634.834748832,178.03675209893635,0.9742483768951586,0.069904749512325,0.2143675024642681,"[-0.07156849683058236, -0.2138177971511254, 0.9742483768951586, 0.9974356872808445, -0.015341959920693829, 0.069904749512325, 0.0, 0.9767530772345853, 0.2143675024642681]"
20250614_204139.jpg,-11.97056913117493,-2.5166304739533736,18.719922206778207,0.2771360147288084,-0.3045467004317796,-0.9112886132265394,49.1815671,9.2344418,227.0,517085.2413252119,5447666.506155291,174.0,517083.93944394577,5447664.849345503,175.89803487147853,0.3309693628862571,-0.8816080898648674,0.33649139174053955,"[0.9362012204633156, -0.11826476919887662, 0.3309693628862571, 0.3514644716084379, 0.31502365162289275, -0.8816080898648674, -0.0, 0.9416865419472209, 0.33649139174053955]"
20250614_202816.jpg,33.06659394093753,-6.662824212326553,-12.141183430498451,-0.9861943346454207,-0.04716353876375154,-0.15873353434153734,49.18124,9.2351617,235.0,517137.81785012543,5447630.305605104,182.0,517129.9987007148,5447636.672611188,179.78802252801756,-0.9752098102408897,-0.2018907469642078,0.09058671149877462,"[0.20272423306660242, 0.08870575707069901, -0.9752098102408897, -0.9792358680765109, 0.01836412161461466, -0.2018907469642078, 0.0, 0.9958885719295296, 0.09058671149877462]"
20250614_204858.jpg,27.50144283050178,-4.579178656262897,7.315916024812564,-0.7378493308296444,-0.07330964359257161,-0.6709724742123002,49.181484599722225,9.235012299722221,229.0,517126.845646637,5447657.463613226,176.0,517123.50946904253,5447655.5109393345,177.0331557790211,-0.701746446430539,-0.7001745138144515,0.1315582575394165,"[0.7063134792071359, 0.09312998449705465, -0.701746446430539, -0.7078991941585403, 0.09292137060109369, -0.7001745138144515, 0.0, 0.9913084408362479, 0.1315582575394165]"
20250614_204835.jpg,17.931858234204867,-4.491640160066462,16.761906556673274,-0.4264825455573066,-0.09759115261146578,-0.8992155499472443,49.18157349972222,9.2348186,232.0,517112.6988708055,5447667.302704292,179.0,517113.6121813683,5447664.385449159,176.85612557644072,-0.3791048604023334,-0.9122662513698264,0.15507995173771522,"[0.9234380767467748, 0.05951153865886051, -0.3791048604023334, -0.3837474669808489, 0.1432067323746584, -0.9122662513698264, 0.0, 0.987901922545466, 0.15507995173771522]"
20250614_204127.jpg,-16.112848344791885,-2.5540507233330225,14.370308832620164,0.5803164883684464,-0.14152083881312502,-0.8020003899683242,49.1815104,9.2343744,227.0,517080.3489824664,5447660.187685784,174.0,517080.0594355527,5447660.37021693,176.28594229521408,0.6227620976742277,-0.7663847895138111,0.15754911647567996,"[0.7760770982042634, -0.09935646603641764, 0.6227620976742277, 0.6306380401171896, 0.1222702611390912, -0.7663847895138111, -0.0, 0.9875111522903085, 0.15754911647567996]"
20250614_203958.jpg,-22.328382727426177,-3.0457970287376837,-14.53893407095098,0.9291197953647204,-0.27911523364239255,0.24255121564356816,49.1812514,9.2342863,230.0,517074.0176823282,5447631.375138219,177.0,517075.3173634805,5447631.590539804,178.33292652666066,0.9254028581651103,0.2986770756228408,0.23328427850421632,"[-0.3071518309612579, -0.22200743869742692, 0.9254028581651103, 0.9516605238934454, -0.07165369327704607, 0.2986770756228408, 0.0, 0.9724085794576102, 0.23328427850421632]"
20250614_203913.jpg,-15.071439346467784,-3.749173498714857,-25.526833632781408,0.4421479535333705,-0.12669505967878825,0.8879490689444078,49.1811798,9.234427,233.0,517084.2960753026,5447623.447204679,180.0,517083.02644545364,5447621.118309429,179.27271262365792,0.40298551970709334,0.9126193877344055,0.0687642642488291,"[-0.9147847413184519, -0.027776752102019527, 0.40298551970709334, 0.40394167530837066, -0.0629044996828188, 0.9126193877344055, 0.0, 0.9976329364863199, 0.0687642642488291]"
20250614_204033.jpg,-19.966067333704988,-2.7823670943175127,-2.8033682335364416,0.9395073610004965,-0.23668005875516834,-0.24760546927225419,49.181362,9.2343177,232.0,517076.2679562201,5447643.677470495,179.0,517077.0814655076,5447643.26306689,177.44480688169497,0.9579075783511917,-0.1919480555945498,0.2134690031148014,"[0.19647687962578436, -0.20930816302731847, 0.9579075783511918, 0.9805084577771448, 0.04194172362882303, -0.19194805559454983, -0.0, 0.9769498373556202, 0.21346900311480144]"
